"dataset","No_of_Cities","tour_length","TC_mean","TC_vc","TC_skew","LMTL_mean","LMTL_vc","LMTL_skew","IPS_mean","IPS_vc","IPS_skew","STLM_mean","STLM_vc","STLM_skew","DBLM_mean","DBLM_vc","DBLM_skew","POELM_mean","POELM_vc","POELM_skew","IPC_mean","IPC_vc","IPC_skew","Ratio_UBLB","Pct_int","Pct_nonint","Min_nonint","Max_nonint","q25_nonint","q50_nonint","q75_nonint"
"lin105.tsp",105,36478.17068,14379,0,NA,14379,0,NA,33.33333333,0,NA,4.8,89.82398317,1.245223496,0.9904761905,0,NA,0.009523809524,0,NA,"-5.277908701",-385.1865323,-0.9223398768,1.033097833,1,0,-Inf,Inf,NA,NA,NA
"lin318.tsp",318,119866.8924,42212.2,0.001940856541,0.3780156522,42212.2,0.001940856541,0.3780156522,9.317695853,0.2759546121,0.3780156522,65.2,37.37921994,-0.113361495,0.9968553459,0,NA,0.003144654088,0,NA,"-0.09094765209",-17007.13433,7.112863043,1.035755305,1,0,-Inf,Inf,NA,NA,NA
"nrw1379.tsp",1379,712716.0813,56935.9,0.0004201725534,-0.5858938765,56935.9,0.0004201725534,-0.5858938765,5.555629828,0.01527841065,1.09955019,91.75,8.588397159,-1.678382945,0.9992748368,0,NA,0.0007251631617,0,NA,"-0.1228303791",-1811.077875,2.589196235,1.008886775,0.6672661871,0.3327338129,0.99939,0.00122,0.1147125,0.5,0.813971
"p654.tsp",654,107781.2053,34648.25,7.71e-05,0.3112298033,34648.25,7.71e-05,0.3112298033,13.32501994,0.3523098878,1.23169628,67.45,32.63262141,-0.2591890725,0.998470948,0,NA,0.001529051988,0,NA,"2.571812006",2333.28022,5.985354362,1.129982386,1,0,-Inf,Inf,NA,NA,NA
"pa561.tsp",561,4869,2780.45,0.001232003235,0.5823927529,2780.45,0.001232003235,0.5823927529,0.4240253411,0.4240636773,-0.5823927529,76.65,27.43246924,-0.5650337929,0.9982174688,0,NA,0.001782531194,0,NA,"0.03079858956",1504.704009,6.241734445,1.017254038,0.4457070707,0.5542929293,0.999183,0.003268,0.168301,0.431373,0.73366
"pcb1173.tsp",1173,123874.1715,57276.2,0.001017877075,0.8082314614,57276.2,0.001017877075,0.8082314614,7.99460925,0.1413251511,0.8082314614,94.5,5.004789963,-0.9754987195,0.9991474851,0,NA,0.000852514919,0,NA,"0.2011518661",3104.523621,3.23427233,1.014803823,0.4521633151,0.5478366849,0.999991,0.000102,0.003426,0.440664,0.994491
"pcb3038.tsp",3038,295888.0369,138919.7,0.00138827576,0.5059736023,138919.7,0.00138827576,0.5059736023,15.64612746,0.08979085374,-0.06580931504,97.75,2.910140759,-0.9717385465,0.9996708361,0,NA,0.0003291639236,0,NA,"6.267422734",593.9268835,5.096015395,1.012993062,0.4521633151,0.5478366849,0.999991,0.000102,0.003426,0.440664,0.994491
"pcb442.tsp",442,221435.5555,50933.5,8.72e-05,1.069189724,50933.5,8.72e-05,1.069189724,14.60376344,0.2935466717,-1.069189724,77.15,26.71068443,-0.7518475177,0.9977375566,0,NA,0.002262443439,0,NA,"-0.05183716757",-7262.671294,4.76238758,1.007778789,0.8389121339,0.1610878661,0.966667,0.033333,0.25,0.533333,0.75
"pr124.tsp",124,98943.48736,59032.3,0.0001742421132,3.823676242,59032.3,0.0001742421132,3.823676242,98.01323052,0.214499184,-3.823676242,46.6,47.08383991,-0.05466690241,0.9919354839,0,NA,0.008064516129,0,NA,"22.07935339",1246.13416,6.649046449,1.047104631,1,0,-Inf,Inf,NA,NA,NA
"pr136.tsp",136,287026.2317,96777.85,6.86e-05,0.186122041,96777.85,6.86e-05,0.186122041,33.71428571,0.9131768291,0.186122041,27.8,78.17215373,0.8787650476,0.9926470588,0,NA,0.007352941176,0,NA,"Inf",NA,NA,1.032344783,1,0,-Inf,Inf,NA,NA,NA
